rank,cluster,stock_1,stock_2,crossings,half_life,hedge_ratio,correlation
497,9,pei_c,mlvf,0,,0.0,
498,9,ontl,mtgep,0,,0.0,
499,9,ontl,jhmh,0,,0.0,
500,9,ontl,mlvf,0,,0.0,
501,9,mtgep,jhmh,0,,0.0,
502,9,mtgep,mlvf,0,,0.0,
503,9,jhmh,mlvf,0,,0.0,
504,10,sep,kweb,0,,0.0,
505,10,sep,coup,0,,0.0,
506,10,sep,chfc,0,,0.0,
507,10,sep,jw-a,0,,0.0,
508,10,sep,pnm,0,,0.0,
509,10,sep,csod,0,,0.0,
510,10,sep,snhy,0,,0.0,
511,10,kweb,coup,0,,0.0,
512,10,kweb,chfc,0,,0.0,
513,10,kweb,jw-a,0,,0.0,
514,10,kweb,pnm,0,,0.0,
515,10,kweb,csod,0,,0.0,
516,10,kweb,snhy,0,,0.0,
517,10,coup,chfc,0,,0.0,
518,10,coup,jw-a,0,,0.0,
519,10,coup,pnm,0,,0.0,
520,10,coup,csod,0,,0.0,
521,10,coup,snhy,0,,0.0,
522,10,chfc,jw-a,0,,0.0,
523,10,chfc,pnm,0,,0.0,
524,10,chfc,csod,0,,0.0,
525,10,chfc,snhy,0,,0.0,
526,10,jw-a,pnm,0,,0.0,
527,10,jw-a,csod,0,,0.0,
528,10,jw-a,snhy,0,,0.0,
529,10,pnm,csod,0,,0.0,
530,10,pnm,snhy,0,,0.0,
531,10,csod,snhy,0,,0.0,
532,11,usou,sgms,0,,0.0,
533,11,usou,oilu,0,,0.0,
534,11,usou,ric,0,,0.0,
535,11,usou,xent,0,,0.0,
536,11,usou,sage,0,,0.0,
537,11,usou,ccrc,0,,0.0,
538,11,usou,myok,0,,0.0,
539,11,sgms,oilu,0,,0.0,
540,11,sgms,ric,0,,0.0,
541,11,sgms,xent,0,,0.0,
542,11,sgms,sage,0,,0.0,
543,11,sgms,ccrc,0,,0.0,
544,11,sgms,myok,0,,0.0,
545,11,oilu,ric,0,,0.0,
546,11,oilu,xent,0,,0.0,
547,11,oilu,sage,0,,0.0,
548,11,oilu,ccrc,0,,0.0,
549,11,oilu,myok,0,,0.0,
550,11,ric,xent,0,,0.0,
551,11,ric,sage,0,,0.0,
552,11,ric,ccrc,0,,0.0,
553,11,ric,myok,0,,0.0,
